Approve,survey_house,end_date,sample_subpopulation,observations,mode
0.42,SurveyMonkey,4/6/2017,Adults,14518,Internet
0.41,Gallup,4/5/2017,Adults,1500,Live Phone
0.35,ICITIZEN,4/5/2017,Adults,1584,Internet
0.46,Rasmussen,4/5/2017,Likely Voters,1500,IVR/Online
0.42,Gallup,4/4/2017,Adults,1500,Live Phone
0.46,Rasmussen,4/4/2017,Likely Voters,1500,IVR/Online
0.4,YouGov/Economist,4/4/2017,Adults,1500,Internet
0.46,Ipsos/Reuters,4/4/2017,Adults,2149,Internet
0.39,Gallup,4/3/2017,Adults,1500,Live Phone
0.35,Quinnipiac,4/3/2017,Registered Voters,1171,Live Phone
0.43,Rasmussen,4/3/2017,Likely Voters,1500,IVR/Online
0.41,Kaiser FF,4/3/2017,Adults,1203,Live Phone
0.38,Gallup,4/2/2017,Adults,1500,Live Phone
0.42,Rasmussen,4/2/2017,Likely Voters,1500,IVR/Online
0.47,Politico/Morning Consult,4/1/2017,Registered Voters,1995,Internet
0.38,Gallup,4/1/2017,Adults,1500,Live Phone
0.4,Gallup,3/31/2017,Adults,1500,Live Phone
0.38,Gallup,3/30/2017,Adults,1500,Live Phone
0.43,Rasmussen,3/30/2017,Likely Voters,1500,IVR/Online
0.34,IBD/TIPP,3/30/2017,Adults,904,Live Phone
0.42,SurveyMonkey,3/30/2017,Adults,11890,Internet
0.38,Gallup,3/29/2017,Adults,1500,Live Phone
0.33,ICITIZEN,3/29/2017,Adults,1062,Internet
0.44,Rasmussen,3/29/2017,Likely Voters,1500,IVR/Online
0.4,PPP (D),3/28/2017,Likely Voters,677,IVR/Online
0.35,Gallup,3/28/2017,Adults,1500,Live Phone
0.41,YouGov/Economist,3/28/2017,Adults,1500,Internet
0.44,Rasmussen,3/28/2017,Likely Voters,1500,IVR/Online
0.4,CBS,3/28/2017,Adults,1088,Live Phone
0.42,NBC/SurveyMonkey,3/28/2017,Adults,7832,Internet
0.44,Ipsos/Reuters,3/28/2017,Adults,1646,Internet
0.36,Gallup,3/27/2017,Adults,1500,Live Phone
0.42,SurveyMonkey,3/27/2017,Adults,6488,Internet
0.42,AP-NORC,3/27/2017,Adults,1110,Live Phone/Online
0.45,Rasmussen,3/27/2017,Likely Voters,1500,IVR/Online
0.38,McClatchy/Marist,3/27/2017,Registered Voters,906,Live Phone
0.36,Gallup,3/26/2017,Adults,1500,Live Phone
0.45,Rasmussen,3/26/2017,Likely Voters,1500,IVR/Online
0.45,Politico/Morning Consult,3/25/2017,Registered Voters,1991,Internet
0.4,Gallup,3/25/2017,Adults,1500,Live Phone
0.41,Gallup,3/24/2017,Adults,1500,Live Phone
0.41,Gallup,3/23/2017,Adults,1500,Live Phone
0.44,Rasmussen,3/23/2017,Likely Voters,1500,IVR/Online
0.37,ICITIZEN,3/23/2017,Adults,1101,Internet
0.42,SurveyMonkey,3/23/2017,Adults,12306,Internet
0.39,Gallup,3/22/2017,Adults,1500,Live Phone
0.47,Rasmussen,3/22/2017,Likely Voters,1500,IVR/Online
0.4,Gallup,3/21/2017,Adults,1500,Live Phone
0.41,YouGov/Economist,3/21/2017,Adults,1500,Internet
0.46,Rasmussen,3/21/2017,Likely Voters,1500,IVR/Online
0.47,Ipsos/Reuters,3/21/2017,Adults,1606,Internet
0.37,Quinnipiac,3/21/2017,Registered Voters,1056,Live Phone
0.39,Gallup,3/20/2017,Adults,1500,Live Phone
0.41,ARG,3/20/2017,Adults,1100,Live Phone
0.5,Rasmussen,3/20/2017,Likely Voters,1500,IVR/Online
0.39,Gallup,3/19/2017,Adults,1500,Live Phone
0.5,Politico/Morning Consult,3/19/2017,Registered Voters,1927,Internet
0.49,Rasmussen,3/19/2017,Likely Voters,1500,IVR/Online
0.37,Gallup,3/18/2017,Adults,1500,Live Phone
0.4,Gallup,3/17/2017,Adults,1500,Live Phone
0.49,Harris/Harvard,3/16/2017,Registered Voters,2092,Internet
0.41,Gallup,3/16/2017,Adults,1500,Live Phone
0.48,Rasmussen,3/16/2017,Likely Voters,1500,IVR/Online
0.42,ICITIZEN,3/16/2017,Adults,1309,Internet
0.46,SurveyMonkey,3/16/2017,Adults,12133,Internet
0.42,Gallup,3/15/2017,Adults,1500,Live Phone
0.47,Rasmussen,3/15/2017,Likely Voters,1500,IVR/Online
0.41,YouGov/Economist,3/14/2017,Adults,1500,Internet
0.43,FOX,3/14/2017,Registered Voters,1008,Live Phone
0.4,Gallup,3/14/2017,Adults,1500,Live Phone
0.45,Rasmussen,3/14/2017,Likely Voters,1500,IVR/Online
0.45,Ipsos/Reuters,3/14/2017,Adults,1750,Internet
0.39,Gallup,3/13/2017,Adults,1500,Live Phone
0.52,Politico/Morning Consult,3/13/2017,Registered Voters,1983,Internet
0.46,Rasmussen,3/13/2017,Likely Voters,1500,IVR/Online
0.43,PPP (D),3/12/2017,Likely Voters,808,IVR/Online
0.42,Gallup,3/12/2017,Adults,1500,Live Phone
0.47,Rasmussen,3/12/2017,Likely Voters,1500,IVR/Online
0.36,Kaiser FF,3/12/2017,Adults,1206,Live Phone
0.43,Pew,3/12/2017,Adults,3844,Live Phone/Online
0.45,Gallup,3/11/2017,Adults,1500,Live Phone
0.44,Saint Leo University,3/11/2017,Adults,1073,Internet
0.44,Gallup,3/10/2017,Adults,1500,Live Phone
0.42,Gallup,3/9/2017,Adults,1500,Live Phone
0.48,Rasmussen,3/9/2017,Likely Voters,1500,IVR/Online
0.47,SurveyMonkey,3/9/2017,Adults,12257,Internet
0.41,Gallup,3/8/2017,Adults,1500,Live Phone
0.49,Rasmussen,3/8/2017,Likely Voters,1500,IVR/Online
0.42,YouGov/Economist,3/7/2017,Adults,1500,Internet
0.42,Gallup,3/7/2017,Adults,1500,Live Phone
0.49,Rasmussen,3/7/2017,Likely Voters,1500,IVR/Online
0.48,Ipsos/Reuters,3/7/2017,Adults,1662,Internet
0.43,Gallup,3/6/2017,Adults,1500,Live Phone
0.5,Politico/Morning Consult,3/6/2017,Registered Voters,1992,Internet
0.51,Rasmussen,3/6/2017,Likely Voters,1500,IVR/Online
0.41,Quinnipiac,3/6/2017,Registered Voters,1283,Live Phone
0.44,Gallup,3/5/2017,Adults,1500,Live Phone
0.43,Monmouth University,3/5/2017,Adults,801,Live Phone
0.48,SurveyMonkey,3/5/2017,Adults,4551,Internet
0.47,Suffolk/USA Today,3/5/2017,Registered Voters,1000,Live Phone
0.52,Rasmussen,3/5/2017,Likely Voters,1500,IVR/Online
0.43,Gallup,3/4/2017,Adults,1500,Live Phone
0.45,CNN,3/4/2017,Adults,1025,Live Phone
0.41,IBD/TIPP,3/4/2017,Adults,909,Live Phone
0.43,Gallup,3/3/2017,Adults,1500,Live Phone
0.43,Gallup,3/2/2017,Adults,1500,Live Phone
0.53,Rasmussen,3/2/2017,Likely Voters,1500,IVR/Online
0.45,SurveyMonkey,3/2/2017,Adults,12273,Internet
0.43,Gallup,3/1/2017,Adults,1500,Live Phone
0.52,Rasmussen,3/1/2017,Likely Voters,1500,IVR/Online
0.41,YouGov/Economist,3/1/2017,Adults,1500,Internet
0.43,Gallup,2/28/2017,Adults,1500,Live Phone
0.5,Rasmussen,2/28/2017,Likely Voters,1500,IVR/Online
0.46,Ipsos/Reuters,2/28/2017,Adults,1847,Internet
0.42,Gallup,2/27/2017,Adults,1500,Live Phone
0.5,Rasmussen,2/27/2017,Likely Voters,1500,IVR/Online
0.5,Politico/Morning Consult,2/26/2017,Registered Voters,2000,Internet
0.42,Gallup,2/26/2017,Adults,1500,Live Phone
0.51,Rasmussen,2/26/2017,Likely Voters,1500,IVR/Online
0.41,Gallup,2/25/2017,Adults,1500,Live Phone
0.41,Gallup,2/24/2017,Adults,1500,Live Phone
0.43,Gallup,2/23/2017,Adults,1500,Live Phone
0.53,Rasmussen,2/23/2017,Likely Voters,1500,IVR/Online
0.44,SurveyMonkey,2/23/2017,Adults,10639,Internet
0.45,PPP (D),2/22/2017,Likely Voters,941,IVR/Online
0.43,Gallup,2/22/2017,Adults,1500,Live Phone
0.52,Rasmussen,2/22/2017,Likely Voters,1500,IVR/Online
0.44,NBC/WSJ,2/22/2017,Adults,1000,Live Phone
0.43,YouGov/Economist,2/22/2017,Adults,1500,Internet
0.42,Gallup,2/21/2017,Adults,1500,Live Phone
0.51,Rasmussen,2/21/2017,Likely Voters,1500,IVR/Online
0.39,CBS,2/21/2017,Adults,1280,Live Phone
0.45,Ipsos/Reuters,2/21/2017,Adults,2338,Internet
0.38,Quinnipiac,2/21/2017,Registered Voters,1323,Live Phone
0.41,Gallup,2/20/2017,Adults,1500,Live Phone
0.43,ARG,2/20/2017,Adults,1100,Live Phone
0.5,Rasmussen,2/20/2017,Likely Voters,1500,IVR/Online
0.42,Gallup,2/19/2017,Adults,1500,Live Phone
0.49,Politico/Morning Consult,2/19/2017,Registered Voters,2013,Internet
0.41,McClatchy/Marist,2/19/2017,Registered Voters,864,Live Phone
0.51,Rasmussen,2/19/2017,Likely Voters,1500,IVR/Online
0.43,NBC/SurveyMonkey,2/19/2017,Adults,11512,Internet
0.41,HuffPost/YouGov,2/18/2017,Adults,1000,Internet
0.41,Gallup,2/18/2017,Adults,1500,Live Phone
0.4,Gallup,2/17/2017,Adults,1500,Live Phone
0.45,SurveyMonkey,2/17/2017,Adults,9163,Internet
0.38,Gallup,2/16/2017,Adults,1500,Live Phone
0.55,Rasmussen,2/16/2017,Likely Voters,1500,IVR/Online
0.4,Gallup,2/15/2017,Adults,1500,Live Phone
0.55,Rasmussen,2/15/2017,Likely Voters,1500,IVR/Online
0.4,Gallup,2/14/2017,Adults,1500,Live Phone
0.53,Rasmussen,2/14/2017,Likely Voters,1500,IVR/Online
0.43,YouGov/Economist,2/14/2017,Adults,1500,Internet
0.46,Ipsos/Reuters,2/14/2017,Adults,1774,Internet
0.48,Harris/Harvard,2/13/2017,Registered Voters,2148,Internet
0.48,FOX,2/13/2017,Registered Voters,1013,Live Phone
0.4,Gallup,2/13/2017,Adults,1500,Live Phone
0.52,Rasmussen,2/13/2017,Likely Voters,1500,IVR/Online
0.4,Gallup,2/12/2017,Adults,1500,Live Phone
0.52,Rasmussen,2/12/2017,Likely Voters,1500,IVR/Online
0.39,Pew,2/12/2017,Adults,1503,Live Phone
0.46,SurveyMonkey,2/12/2017,Adults,9349,Internet
0.4,Gallup,2/11/2017,Adults,1500,Live Phone
0.49,Politico/Morning Consult,2/10/2017,Registered Voters,1791,Internet
0.41,Gallup,2/10/2017,Adults,1500,Live Phone
0.42,Gallup,2/9/2017,Adults,1500,Live Phone
0.53,Rasmussen,2/9/2017,Likely Voters,1500,IVR/Online
0.43,PPP (D),2/8/2017,Likely Voters,712,IVR/Online
0.43,Gallup,2/8/2017,Adults,1500,Live Phone
0.53,Rasmussen,2/8/2017,Likely Voters,1500,IVR/Online
0.43,Gallup,2/7/2017,Adults,1500,Live Phone
0.53,Rasmussen,2/7/2017,Likely Voters,1500,IVR/Online
0.41,YouGov/Economist,2/7/2017,Adults,1500,Internet
0.48,Ipsos/Reuters,2/7/2017,Adults,1896,Internet
0.42,Gallup,2/6/2017,Adults,1500,Live Phone
0.42,Quinnipiac,2/6/2017,Registered Voters,1155,Live Phone
0.53,Rasmussen,2/6/2017,Likely Voters,1500,IVR/Online
0.42,Gallup,2/5/2017,Adults,1500,Live Phone
0.53,Rasmussen,2/5/2017,Likely Voters,1500,IVR/Online
0.46,SurveyMonkey,2/5/2017,Adults,9219,Internet
0.47,Politico/Morning Consult,2/4/2017,Registered Voters,2070,Internet
0.47,Zogby,2/4/2017,Likely Voters,860,Internet
0.42,Gallup,2/4/2017,Adults,1500,Live Phone
0.44,Gallup,2/3/2017,Adults,1500,Live Phone
0.4,CBS,2/2/2017,Adults,1019,Live Phone
0.44,CNN,2/2/2017,Adults,1002,Live Phone
0.43,Gallup,2/2/2017,Adults,1500,Live Phone
0.54,Rasmussen,2/2/2017,Likely Voters,1500,IVR/Online
0.42,IBD/TIPP,2/2/2017,Adults,885,Live Phone
0.43,Gallup,2/1/2017,Adults,1500,Live Phone
0.53,Rasmussen,2/1/2017,Likely Voters,1500,IVR/Online
0.47,PPP (D),1/31/2017,Likely Voters,725,IVR/Online
0.43,Gallup,1/31/2017,Adults,1500,Live Phone
0.53,Rasmussen,1/31/2017,Likely Voters,1500,IVR/Online
0.43,YouGov/Economist,1/31/2017,Adults,1500,Internet
0.46,Ipsos/Reuters,1/31/2017,Adults,3151,Internet
0.43,Gallup,1/30/2017,Adults,1500,Live Phone
0.48,SurveyMonkey,1/30/2017,Adults,4444,Internet
0.51,Rasmussen,1/30/2017,Likely Voters,1500,IVR/Online
0.43,Gallup,1/29/2017,Adults,1500,Live Phone
0.53,Rasmussen,1/29/2017,Likely Voters,1500,IVR/Online
0.49,Politico/Morning Consult,1/28/2017,Registered Voters,1991,Internet
0.42,Gallup,1/28/2017,Adults,1500,Live Phone
0.42,Gallup,1/27/2017,Adults,1500,Live Phone
0.45,Gallup,1/26/2017,Adults,1500,Live Phone
0.55,Rasmussen,1/26/2017,Likely Voters,1500,IVR/Online
0.46,Gallup,1/25/2017,Adults,1500,Live Phone
0.59,Rasmussen,1/25/2017,Likely Voters,1500,IVR/Online
0.41,YouGov/Economist,1/25/2017,Adults,2692,Internet
0.36,Quinnipiac,1/25/2017,Registered Voters,1190,Live Phone
0.44,PPP (D),1/24/2017,Likely Voters,1043,IVR/Online
0.46,Gallup,1/24/2017,Adults,1500,Live Phone
0.57,Rasmussen,1/24/2017,Likely Voters,1500,IVR/Online
0.43,Ipsos/Reuters,1/24/2017,Adults,1633,Internet
0.45,Gallup,1/23/2017,Adults,1500,Live Phone
0.46,Politico/Morning Consult,1/22/2017,Registered Voters,1992,Internet
0.45,Gallup,1/22/2017,Adults,1500,Live Phone
